Sentence,Tag
"Elsewhere , a local official in Laghman province said a roadside bomb killed a policeman and wounded three others Friday evening .","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']"
The U.S. military says at least two Marines are dead and three Marines and a sailor are missing after a suicide car bomb blast struck their convoy in Fallujah late Thursday .,"['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O']"
"In one attack , militants hurled a grenade at a security force patrol at a crowded market in Jammu but missed , wounding at least 18 people .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Democrats in the House of Representatives say they are nearly ready to unveil their health care reform plan .,"['B-org', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Ortega led the leftist Sandanista movement against Contra rebels supported by Washington in the 1980s .,"['B-per', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O']"
"Human rights activists , journalists , lawyers , teachers and students chanted slogans protesting restrictions on the media that allow the royal government to shut down newspapers and radio stations .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"News reports said the blast might have been from a land mine , remote-controlled bomb or rocket-launched grenade .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Japanese Prime Minister Junichiro Koizumi has renewed Tokyo 's call for a permanent seat on the U.N. Security Council .,"['B-gpe', 'B-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O']"
"A spokeswoman , Melissa Fleming , for the International Atomic Energy Agency says her agency would investigate any relevant information on the subject .","['O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"President Bush says he has not ruled out the use of military force , if negotiations fail to end the threat .","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"A group of Israeli actors , writers and directors is vowing not to perform in Jewish settlements in the West Bank .","['O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O']"
A spokesman for her National League for Democracy says the appeal was sent by the party to the cabinet .,"['O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Two senior Taiwanese Cabinet ministers have offered to resign , following the ruling Democratic Progressive Party 's defeat in legislative elections held last week .","['O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Authorities say Miguel Angel Mejia was captured early Friday in the Tolima region , about 100 kilometers west of Bogota .","['O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
They have been confirmed safe .,"['O', 'O', 'O', 'O', 'O', 'O']"
China says it will accept bids next week from three international firms to design and build four nuclear reactors .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The incident took place on Saturday night in restive Kandahar province in the south .,"['O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
"This year , for the first time in memory , the breakup took place during the southern hemisphere 's winter .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In Kirkuk , insurgents ambushed a police patrol , killing four officers .","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Celma , a subsidiary of the U.S. company , said Wednesday that Brazil 's fourth-largest airline owes it some $ 3.2 million .","['B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Authorities say three policemen were among those wounded in the attack on a police patrol in the capital 's Shaab neighborhood .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O']"
"A $ 43 million contract has been awarded by the agency to Development Alternatives , Incorporated .","['O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O']"
"In a parliamentary report last week , French lawmakers called for a total ban effective next September .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
"Professor Comerio talks about the scope of re-building , the long-range outlook for recovery and how Haiti 's devastation compares with other similar earthquake disasters .","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Rate cuts reduce the cost of borrowing and can boost economic activity .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In a related development Friday , the Moscow prosecutor 's office said it has asked that three of Khodorkovsky 's lawyers be disbarred .","['O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O']"
"A report by the European Union says Muslims across Europe are confronting a rise in discrimination and so-called "" Islamophobia "" .","['O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'B-org', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Hearings are set for next month when Congress returns from a recess .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O']"
Organizers of the peace rally said Monday they want to mount pressure on the government and the rebels to resume peace talks .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The government said Thursday U.N. troops will do whatever is necessary to clear the residence .,"['O', 'O', 'O', 'B-tim', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Turkey 's prime minister is appealing for national unity after unrest in Kurdish-majority areas of the country left at least 16 people dead in the past week .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O']"
"The two leaders instructed their negotiators to finalize a pact reducing the number of warheads from 2,200 to somewhere between 1,500 and 1,675 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Earlier this week , NATO officials said the U.S. would extend the tour of 3,000 troops in Afghanistan by four months to help fight resurgent Taleban fighters .","['O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O']"
"Iraqi security forces are said to be assisting with the operation , dubbed Operation River Blitz .","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O']"
"On Monday , Mr. Aziz said India 's reduction in troops in disputed Kashmir has helped reduce tensions .","['O', 'B-tim', 'I-tim', 'B-per', 'I-per', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
"Crowds stormed the buildings in the capital , Sukhumi , Friday .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O']"
"The assault came a day after fighter jets bombed a militant stronghold in the neighboring Khyber tribal region on the Afghan border , killing 45 people .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O']"
"They also say the company failed to make promised changes and repairs at the refinery near Houston , Texas .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O']"
Iraqi security forces have surrounded a town south of Baghdad where gunmen believed to be Sunni militants have taken at least 60 Shi'ite Muslims hostage .,"['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The spokesman called the trip an effort to strengthen cooperation in the struggle against terrorism .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Israel culled more than one million chickens and turkeys in March 2006 after the H5N1 virus infected poultry at several communal farms .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"A U.N. spokesman said Wednesday that the clash occurred Tuesday , some 30 kilometers from the town of Bunia .","['O', 'B-org', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
A global quota system on textile imports expired at the end of 2004 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O']"
"U.S. and Iraqi forces have been operating in the Euphrates River valley to stem the flow of insurgents and supplies from across the border , ahead of next month 's parliamentary elections .","['B-geo', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Officials say the first bomb caused a small blast in a telephone booth , drawing a crowd to the site before the second and more powerful device exploded .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"More than 73,000 Pakistanis died and more than three million people have been left homeless by the October 8 earthquake .","['O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O']"
"Opinion polls indicate American interest in the trip falls far short of the prince 's 1985 visit with his first wife , the late Princess Diana .","['O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
"Under British influence , a monarchy was set up in 1907 ; three years later , a treaty was signed whereby the British agreed not to interfere in Bhutanese internal affairs and Bhutan allowed Britain to direct its foreign affairs .","['O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-tim', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
"Yonhap said the pilot , who was the only person on board the aircraft , was killed .","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In December , Congress fired 27 of 31 justices and designated new ones after President Gutierrez accused the judges of bias against him .","['O', 'B-tim', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Violence in the region has claimed at least 30,000 lives since the start of a revolt against India in 1989 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'B-tim', 'O']"
Hundreds of North Koreans have broken into embassies and foreign schools in China in recent years seeking asylum .,"['O', 'O', 'B-org', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
Abu Hamza al-Masri says he lost both hands and an eye fighting Soviet forces in Afghanistan in the 1980s .,"['B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O']"
Hamas militants took control of the Gaza Strip nearly two months ago after a week of deadly street battles with Fatah .,"['B-org', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
"U.S. Attorney General Alberto Gonzales and his Mexican counterpart Daniel Cabeza de Vaca spoke to reporters about the new plan Thursday in San Antonio , Texas .","['B-org', 'I-org', 'I-org', 'B-per', 'I-per', 'O', 'O', 'B-gpe', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'I-geo', 'O', 'B-geo', 'O']"
"At last report , the 11th named storm of this year 's Atlantic hurricane season was 628 kilometers southeast of the mouth of the Mississippi River .","['O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
"The U.N. Security Council Tuesday expressed concern about the foreign armed groups that remain in the DRC , and welcomed a DRC plan to disarm Ugandan rebels .","['O', 'B-org', 'I-org', 'I-org', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O']"
"The French settled Grenada in the 17th century , established sugar estates , and imported large numbers of African slaves .","['O', 'B-gpe', 'O', 'B-org', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O']"
"The U.S. space agency says the crew members installed a work platform , set up two experiments , and checked vents on systems that help control the station 's atmosphere .","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
He called on armed rebels to join the political process .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mr. Abbas dismissed the men , including security chief Abdel Razek Majaidie , hours after Hamas militants fired the mortars .","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O']"
"The Revolutionary Guards are the ideological wing of the Iranian armed forces , and have a separate command structure from the regular army .","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Government health officials say cigarettes kill 50,000 Spaniards a year , Despite complaints from some smokers and business owners , one poll says more than 70 percent of Spaniards approve of the new restrictions .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O']"
Italian officials have imposed extraordinary security measures that include anti-aircraft missiles and instituting a no-fly zone over Rome .,"['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Croatian authorities have said an EU accession treaty could be signed in early 2011 .,"['B-gpe', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Middlesbrough could not find the offense it needed to rebound from the deficit .,"['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Officials believe strong winds caused a high speed train to derail north of Tokyo , killing at least one person .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Separately , the French News Agency ( AFP ) Friday said Israel 's Shin Bet security service released a statement saying 2010 has had the fewest militant attacks against Israel since a Palestinian uprising began a decade ago .","['O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'B-org', 'O', 'B-tim', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-tim', 'O', 'O']"
"On Wednesday , the torch will head to Jiangxi Province , to the west of Fujian .","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
"Citizen identification and voter registration pose election difficulties , and balloting planned for November 2009 was postponed to 2010 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'B-tim', 'O']"
The measure still requires Senate approval .,"['O', 'O', 'O', 'O', 'B-org', 'O', 'O']"
Burma has released thousands of prisoners to mark the 57th anniversary of the country 's independence from Britain .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
"He is wanted in connection with a triple car bombing on September 29 in the town of Balad , north of Baghdad .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-geo', 'O']"
"Meanwhile , officials in Burma say crows and sparrows may have carried the H5N1 virus to a poultry farm in the suburbs of Rangoon sparking an outbreak .","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O']"
The International Labor Organization says the world financial crisis could lead to record global unemployment with 20 million more people out of work by the end of next year .,"['O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O']"
"British Foreign Office Minister Kim Howells said the Kabul Declaration marks the "" moment when Afghanistan has become a real player in bringing peace and stability to the region . ""","['O', 'B-per', 'I-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'B-art', 'I-art', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Hundreds of thousands of chickens were destroyed in the town of Navapur and neighboring areas after that outbreak , and last week authorities said they had contained the virus there .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A JUDGE was awakened by the noise of a lawyer prosecuting a Thief .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"But residents of both North and South Carolina remain wary , as it could regain strength .","['O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"After she was kidnapped , she appeared in several videos appealing for British forces to withdraw from Iraq .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
The French Transport Ministry said Thursday that the latest search should begin in February .,"['O', 'B-gpe', 'B-org', 'I-org', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
"Deputy Secretary of State Robert Zoellick says health conditions remain serious in Darfur , where fighting has displaced more than 2 million people .","['O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Cheney was asked on a national U.S. television show PBSNewshour Tuesday if the president would be willing to work with Congress to settle some of the disputes about the legality of the secret surveillance program .,"['B-per', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Analysts have warned that Barghouti 's candidacy could split the Fatah organization and undermine its chosen candidate , interim leader Mahmoud Abbas .","['O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O']"
"Number-eight Anabel Medina Garrigues of Spain defeated Aiko Nakamura of Japan , 06-Apr , 06-Apr , while teenager Lucie Safarova of the Czech Republic scored a three-set win over Slovakia 's Jarmila Gajdosova ( 04-Jun , 07-May , 06-Apr ) .","['O', 'B-per', 'I-per', 'I-per', 'O', 'B-gpe', 'O', 'B-per', 'I-per', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Insurgents marked the day with several large explosions in Baghdad before and after the assembly session .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
